,S. No.,Message_body,Label,cleaned,target
237,238,I think steyn surely get one wicket:),Non-Spam,think steyn surely get one wicket,0
238,239,X course it 2yrs. Just so her messages on messenger lik you r sending me,Non-Spam,course message messenger lik sending,0
239,240,Dude im no longer a pisces. Im an aquarius now.,Non-Spam,dude longer pisces aquarius,0
240,241,"Sir, waiting for your letter.",Non-Spam,sir waiting letter,0
241,242,Sweet heart how are you?,Non-Spam,sweet heart,0
242,243,Wishing you a wonderful week.,Non-Spam,wishing wonderful week,0
243,244,What makes you most happy?,Non-Spam,make happy,0
244,245,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",Non-Spam,gal boy walking park galcan hold hand boyy think would run away galno jst wana feel walking heaven princegn,0
245,246,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",Non-Spam,dear sirsalam alaikkumpride pleasure meeting today tea shopwe pleased send contact number qatarrakhesh indianpls save numberrespectful regard,0
246,247,Aah bless! How's your arm?,Non-Spam,aah bless arm,0
247,248,"Thanks, I'll keep that in mind",Non-Spam,thanks keep mind,0
248,249,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,Non-Spam,problem yup going sch rem correctly,0
249,250,But we havent got da topic yet rite?,Non-Spam,havent got topic yet rite,0
250,251,Kothi print out marandratha.,Non-Spam,kothi print marandratha,0
251,252,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",Non-Spam,good morning love sleep wish great day full feeling better opportunity last thought babe love kiss,0
252,253,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",Non-Spam,fyi back parent place south tampa might need deal somewhere else,0
253,254,Jus finish watching tv... U?,Non-Spam,jus finish watching,0
254,255,Hahaha..use your brain dear,Non-Spam,hahahause brain dear,0
255,256,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,Spam,get official england poly ringtone colour flag yer mobile tonight game text tone flag optout txt eng stop box wwx,1
256,257,My sister going to earn more than me da.,Non-Spam,sister going earn,0
257,258,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,Non-Spam,got favorite oyster got favorite sashimi lar dun say already wait stomach start rumbling,0
258,259,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,Non-Spam,kki going tirunelvali week see uncle already spend amount taking dress want moneyi give feb,0
259,260,"yeah, that's what I was thinking",Non-Spam,yeah thinking,0
260,261,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",Non-Spam,jolly good way give ticket sat eve speak,0
261,262,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,Non-Spam,back thursday yay gon get money cheer yeah everything alright hows school call work,0
262,263,What you did in  leave.,Non-Spam,leave,0
263,264,Ill be at yours in about 3 mins but look out for me,Non-Spam,ill min look,0
264,265,Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?,Non-Spam,missed call mumhas beendropping red wine theplace adress,0
265,266,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,Non-Spam,pls ask macho much budget bold saw new one ltgt dollar,0
266,267,"I can. But it will tell quite long, cos i haven't finish my film yet...",Non-Spam,tell quite long finish film yet,0
267,268,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,Non-Spam,ltgt buck bank fee fixed better call bank find,0
268,269,At WHAT TIME should i come tomorrow,Non-Spam,time tomorrow,0
269,270,I can't make it tonight,Non-Spam,make tonight,0
270,271,Well good morning mr . Hows london treatin' ya treacle?,Non-Spam,well good morning hows london treatin treacle,0
271,272,I.ll hand her my phone to chat wit u,Non-Spam,ill hand phone chat wit,0
272,273,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,Non-Spam,darling sister school resuming minimum wait period reapply take care,0
273,274,Are u coming to the funeral home,Non-Spam,funeral home,0
274,275,Alex says he's not ok with you not being ok with it,Non-Spam,alex say,0
275,276,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,Spam,xmas awarded either gift voucher free entry weekly draw txt music tnc,1
276,277,I donno its in your genes or something,Non-Spam,donno gene something,0
277,278,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,Spam,urgent please call landline cash luxury canary island holiday await collection sae box mxy ppm,1
278,279,Xy trying smth now. U eat already? We havent...,Non-Spam,trying smth eat already havent,0
279,280,Dear where you. Call me,Non-Spam,dear call,0
280,281,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,Non-Spam,hey congrats luv ive home,0
281,282,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),Non-Spam,excellent thought misundrstud frnd knw hate day wen knw truth hate urself,0
282,283,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,Non-Spam,hey forget mine possession property mmm childish smile,0
283,284,I'm still pretty weak today .. Bad day ?,Non-Spam,still pretty weak today bad day,0
284,285,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",Spam,urgent week free membership prize jackpot txt word claim lccltd pobox ldnwarw,1
285,286,Sent me ur email id soon,Non-Spam,sent email soon,0
286,287,"Yeah, probably here for a while",Non-Spam,yeah probably,0
287,288,I have gone into get info bt dont know what to do,Non-Spam,gone get info dont know,0
288,289,"And how you will do that, princess? :)",Non-Spam,princess,0
289,290,"Vikky, come around  &lt;TIME&gt; ..",Non-Spam,vikky around lttimegt,0
290,291,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",Non-Spam,helloooo wake sweet morning enjoy day full joy gud mrng,0
291,292,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,Spam,urgent mobile number awarded prize guaranteed call land line claim valid ppm,1
292,293,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",Non-Spam,best msg hard person know one step foward make fall love amp one step back ruin friendship good night,0
293,294,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,Non-Spam,dunno leh cant remember mayb lor wat time meeting tmr,0
294,295,Oh yeah clearly it's my fault,Non-Spam,yeah clearly fault,0
295,296,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",Non-Spam,hope day good back walk table booked half eight let know,0
296,297,Its too late:)but its k.wish you the same.,Non-Spam,latebut kwish,0
297,298,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",Non-Spam,hellohow doingwhat moving flat need arrange pick lamp etc take care hello caroline,0
298,299,So u wan 2 come for our dinner tonight a not?,Non-Spam,wan dinner tonight,0
299,300,Did u fix the teeth?if not do it asap.ok take care.,Non-Spam,fix teethif asapok take care,0
300,301,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",Spam,prize another customer pmin polo ltd suite london please call back busy,1
301,302,"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx",Non-Spam,enjoyin indian moyep sall good hehe hows bout shexy pete,0
302,303,Anything lar then ü not going home 4 dinner?,Non-Spam,anything lar going home dinner,0
303,304,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,Non-Spam,darlin kate doin somethin tonight going pub called swan something parent one drink phone,0
304,305,Gud ni8.swt drms.take care,Non-Spam,gud niswt drmstake care,0
305,306,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",Non-Spam,storming msg wen lift phne say hello knw real meaning hello name girl yes knw dat girl margaret hello girlfrnd grahmbell invnted telphone moralone get name person girlfrnd,0
306,307,Pls speak with me. I wont ask anything other then you friendship.,Non-Spam,pls speak wont ask anything friendship,0
307,308,Did you see that film:),Non-Spam,see film,0
308,309,I absolutely LOVE South Park! I only recently started watching the office.,Non-Spam,absolutely love south park recently started watching office,0
309,310,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,Non-Spam,anyone call treadmill say buy make sure working found craigslist selling ltgt,0
310,311,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,Non-Spam,help swoop picking wherever bird meeting want,0
311,312,1 in cbe. 2 in chennai.,Non-Spam,cbe chennai,0
312,313,"As usual..iam fine, happy &amp; doing well..:)",Non-Spam,usualiam fine happy amp well,0
313,314,Well she's in for a big surprise!,Non-Spam,well big surprise,0
314,315,Ok... Sweet dreams...,Non-Spam,sweet dream,0
315,316,I didnt get anything da,Non-Spam,didnt get anything,0
316,317,Please tell me not all of my car keys are in your purse,Non-Spam,please tell car key purse,0
317,318,You do your studies alone without anyones help. If you cant no need to study.,Non-Spam,study alone without anyones help cant need study,0
318,319,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",Non-Spam,yeah work fine started last week stuff dull easy guy fun,0
319,320,Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,Spam,urgent please call landline cash holiday await collection sae box mxy,1
320,321,"K I'm leaving soon, be there a little after 9",Non-Spam,leaving soon little,0
321,322,U come n search tat vid..not finishd..,Non-Spam,search tat vidnot finishd,0
322,323,Gud ni8 dear..slp well..take care..swt dreams..Muah..,Non-Spam,gud dearslp welltake careswt dreamsmuah,0
323,324,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,Non-Spam,eaten day sitting staring juicy pizza eat med ruining life,0
324,325,Thank you princess! I want to see your nice juicy booty...,Non-Spam,thank princess want see nice juicy booty,0
325,326,thanks for the temales it was wonderful. Thank. Have a great week.,Non-Spam,thanks temales wonderful thank great week,0
326,327,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,Non-Spam,course tease know simply must see grin keep posted prey loving smile devouring kiss,0
327,328,Hmm thinking lor...,Non-Spam,hmm thinking lor,0
328,329,Its a part of checking IQ,Non-Spam,part checking,0
329,330,"Gud gud..k, chikku tke care.. sleep well gud nyt",Non-Spam,gud gudk chikku tke care sleep well gud nyt,0
330,331,"Jay wants to work out first, how's 4 sound?",Non-Spam,jay want work first sound,0
331,332,Yeah I can still give you a ride,Non-Spam,yeah still give ride,0
332,333,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,Spam,someonone know trying contact via dating service find could call mobile landline boxskch,1
333,334,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,Non-Spam,uworld site buying qbank buying self assessment also,0
334,335,Ok cool. See ya then.,Non-Spam,cool see,0
335,336,Hey what how about your project. Started aha da.,Non-Spam,hey project started aha,0
336,337,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,Spam,chosen receive award pls call claim number collect award selected receive valued mobile customer,1
337,338,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,Non-Spam,realise busy guy trying bother get exam outta way try car day,0
338,339,"Nope, I'm still in the market",Non-Spam,nope still market,0
339,340,It means u could not keep ur words.,Non-Spam,mean could keep word,0
340,341,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,Spam,private account statement fone show unredeemed point call identifier code expires,1
341,342,I re-met alex nichols from middle school and it turns out he's dealing!,Non-Spam,remet alex nichols middle school turn dealing,0
342,343,Prabha..i'm soryda..realy..frm heart i'm sory,Non-Spam,prabhai sorydarealyfrm heart sory,0
343,344,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Non-Spam,smile pleasure smile pain smile trouble pours like rain smile sum hurt smile becoz someone still love see smiling,0
344,345,OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,Non-Spam,fuck juswoke bed boatin dock slept wid year old spinout giv gossip xxx,0
345,346,If I die I want u to have all my stuffs.,Non-Spam,die want stuff,0
346,347,5 nights...We nt staying at port step liao...Too ex,Non-Spam,nightswe staying port step liaotoo,0
347,348,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",Non-Spam,jane babe goin wrk feel ill lst nite foned already cover chuck,0
348,349,I have to take exam with in march 3,Non-Spam,take exam march,0
349,350,Pls she needs to dat slowly or she will vomit more.,Non-Spam,pls need dat slowly vomit,0
350,351,I accidentally brought em home in the box,Non-Spam,accidentally brought home box,0
351,352,Well thats nice. Too bad i cant eat it,Non-Spam,well thats nice bad cant eat,0
352,353,I am late. I will be there at,Non-Spam,late,0
353,354,I keep ten rs in my shelf:) buy two egg.,Non-Spam,keep ten shelf buy two egg,0
354,355,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,Spam,natalja inviting friend reply yes see stop send stop frnd,1
355,356,3 pa but not selected.,Non-Spam,selected,0
356,357,K.k.how is your business now?,Non-Spam,kkhow business,0
357,358,It is only yesterday true true.,Non-Spam,yesterday true true,0
358,359,Dai i downloaded but there is only exe file which i can only run that exe after installing.,Non-Spam,dai downloaded exe file run exe installing,0
359,360,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",Non-Spam,know thinkin malaria relax child cant handle malaria would worse gastroenteritis take enough replace loss temp reduce give malaria med vomit self limiting illness mean day stop,0
360,361,Hi.what you think about match?,Non-Spam,hiwhat think match,0
361,362,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",Non-Spam,babe answering see maybe better reboot got photo great,0
362,363,I will reach ur home in  &lt;#&gt;  minutes,Non-Spam,reach home ltgt minute,0
363,364,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,Spam,mobile mths update free orange latest colour camera mobile unlimited weekend call call mobile upd freefone stoptxt,1
364,365,How come she can get it? Should b quite diff to guess rite...,Non-Spam,get quite diff guess rite,0
365,366,Me fine..absolutly fine,Non-Spam,fineabsolutly fine,0
366,367,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,Non-Spam,wot student discount get book,0
367,368,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",Spam,costa del sol holiday await collection call toclaim sae pobox stockport skxh costpm maxmins,1
368,369,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,Spam,call germany penny per minute call fixed line via access number prepayment direct access,1
369,370,Ugh my leg hurts. Musta overdid it on mon.,Non-Spam,ugh leg hurt musta overdid mon,0
370,371,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,Non-Spam,shes fine difficulty phone work mine pls send another friend request,0
371,372,I like cheap! But im happy to splash out on the wine if it makes you feel better..,Non-Spam,like cheap happy splash wine make feel better,0
372,373,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",Spam,spook mob halloween collection logo pic message plus free eerie tone txt card spook zed per logopic,1
373,374,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,Non-Spam,darren saying dat meeting den dun meet dinner later leave feel awkward den meet lunch lor,0
374,375,Ok... Take ur time n enjoy ur dinner...,Non-Spam,take time enjoy dinner,0
375,376,"It's wylie, you in tampa or sarasota?",Non-Spam,wylie tampa sarasota,0
376,377,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Non-Spam,den muz change plan liao back yan jiu,0
377,378,"Sorry, I'll call later",Non-Spam,sorry call later,0
378,379,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,Spam,record indicate maybe entitled pound accident claim free reply claim msg stop txt stop,1
379,380,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,Spam,ree entry weekly chance win ipod txt pod get entry std txt rate apply detail,1
380,381,Okie,Non-Spam,okie,0
381,382,WHAT TIME U WRKIN?,Non-Spam,time wrkin,0
382,383,I uploaded mine to Facebook,Non-Spam,uploaded mine facebook,0
383,384,I just cooked a rather nice salmon a la you,Non-Spam,cooked rather nice salmon,0
384,385,I'm in town now so i'll jus take mrt down later.,Non-Spam,town jus take mrt later,0
385,386,"Fuuuuck I need to stop sleepin, sup",Non-Spam,fuuuuck need stop sleepin sup,0
386,387,I sent them. Do you like?,Non-Spam,sent like,0
387,388,K sure am in my relatives home. Sms me de. Pls:-),Non-Spam,sure relative home pls,0
388,389,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",Non-Spam,babe fucking love know fuck good hear voice need crave get enough adore ahmad kiss,0
389,390,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",Non-Spam,hope said would text seen let gently please,0
390,391,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,Spam,auction brand new nokia auction today auction free join take part txt nokia,1
391,392,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",Non-Spam,strange watching one bed sweet dream miss,0
392,393,Company is very good.environment is terrific and food is really nice:),Non-Spam,goodenvironment terrific food really nice,0
393,394,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,Non-Spam,rajipls favour pls convey birthday wish nimya pls today birthday,0
394,395,Water logging in desert. Geoenvironmental implications.,Non-Spam,water logging desert geoenvironmental implication,0
395,396,U 2.,Non-Spam,,0
396,397,"Aight, text me tonight and we'll see what's up",Non-Spam,aight text tonight see,0
397,398,Oh k. . I will come tomorrow,Non-Spam,tomorrow,0
398,399,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,Non-Spam,school lab stuff give call done,0
399,400,Now i'm going for lunch.,Non-Spam,going lunch,0
400,401,"Ive got some salt, you can rub it in my open wounds if you like!",Non-Spam,ive got salt rub open wound like,0
401,402,Oh did you charge camera,Non-Spam,charge camera,0
402,403,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,Non-Spam,dun believe leh tot told true already thk muz tog believe,0
403,404,Ü still got lessons?  Ü in sch?,Non-Spam,still got lesson sch,0
404,405,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",Spam,congrats mobile videophones call videochat wid mate play java game dload polyph music noline rentl,1
405,406,Ok leave no need to ask,Non-Spam,leave need ask,0
406,407,Just send a text. We'll skype later.,Non-Spam,send text skype later,0
407,408,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,Non-Spam,lol need cash nitros hurry crash,0
408,409,Ok... Then r we meeting later?,Non-Spam,meeting later,0
409,410,No but the bluray player can,Non-Spam,bluray player,0
410,411,I will come with karnan car. Please wait till 6pm will directly goto doctor.,Non-Spam,karnan car please wait till directly goto doctor,0
411,412,K k:) sms chat with me.,Non-Spam,chat,0
412,413,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",Non-Spam,sir need velusamy sir date birth bank facility detail,0
413,414,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,Non-Spam,new year eve went party boyfriend hey,0
414,415,"Like  &lt;#&gt; , same question",Non-Spam,like ltgt question,0
415,416,Haven't left yet so probably gonna be here til dinner,Non-Spam,left yet probably gon til dinner,0
416,417,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,Non-Spam,idk sitting stop shop parking lot right bawling eye feel like failure everything nobody want feel like failing,0
417,418,No problem with the renewal. I.ll do it right away but i dont know his details.,Non-Spam,problem renewal ill right away dont know detail,0
418,419,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",Non-Spam,happy new year familymay new year bring happiness stability tranquility vibrant colourful life,0
419,420,Pls call me da. What happen.,Non-Spam,pls call happen,0
420,421,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),Non-Spam,kthen wenever lik also tel vikky getting free time,0
421,422,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam,get garden ready summer free selection summer bulb seed worth scotsman saturday stop notxtcouk,1
422,423,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,Non-Spam,unintentionally bad timing great finger train play along give fifteen min warning,0
423,424,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,Non-Spam,aiyar poor thing give support jia think,0
424,425,I'm in office now da:)where are you?,Non-Spam,office dawhere,0
425,426,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,Non-Spam,darlin helen fone gon prince nite please love kate,0
426,427,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,Non-Spam,started dont stop pray good idea anything see help guy ill forward link,0
427,428,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,Spam,free week nokia tone mobile every week txt nokia get txting tell mate pobox wwq normptone,1
428,429,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,Non-Spam,yeah imagine would really gentle unlike doc treat patient like turkey,0
429,430,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,Non-Spam,shut omg yesterday dream kid boy pissed kid boy even told mark dream changing diaper cause getting owed face,0
430,431,Yup... I havent been there before... You want to go for the yoga? I can call up to book ,Non-Spam,yup havent want yoga call book,0
431,432,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",Spam,costa del sol holiday await collection call toclaim sae pobox stockport skxh costpm maxmins,1
432,433,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,Non-Spam,nice pub near frankie benny near warner cinema,0
433,434,Sorry * was at the grocers.,Non-Spam,sorry grocer,0
434,435,Sday only joined.so training we started today:),Non-Spam,sday joinedso training started today,0
435,436,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",Non-Spam,hmm dunno leh mayb bag goigng dat small jus anything except perfume smth dat keep,0
436,437,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,Non-Spam,still working time also tried adding zero saving checking ltgt,0
437,438,That sucks. I'll go over so u can do my hair. You'll do it free right?,Non-Spam,suck hair free right,0
438,439,Any way where are you and what doing.,Non-Spam,way,0
439,440,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",Non-Spam,rose redred bloodblood heartheart send friend including like get back poor relation need support frnd many luvs praying god marry try,0
440,441,Wot about on wed nite I am 3 then but only til 9!,Non-Spam,wot wed nite til,0
441,442,Cuz ibored. And don wanna study,Non-Spam,cuz ibored wan study,0
442,443,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",Non-Spam,wonderful okors great month cherish guy wish well day mojibiola,0
443,444,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",Non-Spam,work den plus lor workin oso rite den orchard lor place liao,0
444,445,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",Non-Spam,impossible argue always treat like sub like never released remind necessary,0
445,446,"Hi Chikku, send some nice msgs",Non-Spam,chikku send nice msg,0
446,447,NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?,Non-Spam,enufcredeit tocallshall ileave uni get bus yor house,0
447,448,"Oops I did have it,  &lt;#&gt; ?",Non-Spam,oops ltgt,0
448,449,PRIVATE! Your 2003 Account Statement for 078,Spam,private account statement,1
449,450,Lol for real. She told my dad I have cancer,Non-Spam,lol real told dad cancer,0
450,451,Are you driving or training?,Non-Spam,driving training,0
451,452,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,Non-Spam,aslamalaikkuminsha allah tohar beeen muht albi mufti mahfuuzmeaning,0
452,453,Thanks. Fills me with complete calm and reassurance! ,Non-Spam,thanks fill calm reassurance,0
453,454,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",Spam,get lion england tone reply lionm mono lionp poly original best tone gbp network operator rate apply,1
454,455,Argh why the fuck is nobody in town ;_;,Non-Spam,argh fuck nobody town,0
455,456,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,Non-Spam,definitely need module humanity dis sem izzit wan take module,0
456,457,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,Spam,december mobile mths entitled update latest colour camera mobile free call mobile update vco free,1
457,458,I've reached sch already...,Non-Spam,reached sch already,0
458,459,You have 1 new message. Please call 08715205273,Spam,new message please call,1
459,460,Oh you got many responsibilities.,Non-Spam,got many responsibility,0
460,461,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",Non-Spam,sign maturity start saying big thing actually start understanding small thing nice evening bslvyl,0
461,462,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,Non-Spam,really need kiss miss baby baby eva,0
462,463,Ding me on ya break fassyole! Blacko from londn,Non-Spam,ding break fassyole blacko londn,0
